station,valid,lon,lat,elevation,tmpf,dwpf,feel,sknt
HEY,2023-07-01 00:11,-85.6543,31.3460,97.00,87.80,71.60,94.18,0.00
SXS,2023-07-01 00:12,-85.8549,31.3612,122.26,87.80,71.60,94.18,0.00
HUA,2023-07-01 00:14,-86.6848,34.6786,209.00,89.60,77.00,102.54,5.00
8A0,2023-07-01 00:15,-86.2481,34.2316,317.00,86.00,73.40,93.45,0.00
4A6,2023-07-01 00:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 00:15,-87.3142,33.9020,147.00,91.40,78.80,107.79,3.00
CQF,2023-07-01 00:15,-87.8770,30.4605,27.00,86.00,71.60,91.92,0.00
CMD,2023-07-01 00:15,-86.8580,34.2687,289.02,87.80,78.80,102.37,4.00
DYA,2023-07-01 00:15,-87.9541,32.4638,32.25,87.30,78.60,101.28,0.00
SEM,2023-07-01 00:15,-86.9878,32.3439,44.25,87.80,82.40,108.27,0.00
SCD,2023-07-01 00:15,-86.3055,33.1718,170.50,85.80,73.00,92.83,0.00
1A9,2023-07-01 00:15,-86.5127,32.4387,63.56,88.30,73.40,96.51,0.00
EDN,2023-07-01 00:15,-85.9048,31.2982,104.85,88.20,71.80,94.86,0.00
ASN,2023-07-01 00:15,-86.0512,33.5695,155.32,87.80,74.50,96.99,3.00
PLR,2023-07-01 00:15,-86.2491,33.5588,144.69,86.00,75.20,95.19,0.00
1R8,2023-07-01 00:15,-87.8193,30.8703,72.03,93.20,69.80,99.17,0.00
HDL,2023-07-01 00:15,-85.3125,31.3641,108.00,87.80,60.80,87.75,0.00
4A9,2023-07-01 00:15,-85.7214,34.4737,267.00,84.70,74.00,92.24,3.00
MDQ,2023-07-01 00:15,-86.5600,34.8600,230.00,92.00,70.70,98.40,6.00
ALX,2023-07-01 00:15,-85.9613,32.9143,193.00,82.00,73.00,87.18,0.00
LOR,2023-07-01 00:18,-85.7511,31.3558,74.00,87.80,71.60,94.18,0.00
OZR,2023-07-01 00:20,-85.7134,31.2758,91.00,89.60,69.80,94.85,0.00
HUA,2023-07-01 00:25,-86.6848,34.6786,209.00,89.60,77.00,102.54,5.00
4A9,2023-07-01 00:35,-85.7214,34.4737,267.00,82.60,74.70,89.46,0.00
8A0,2023-07-01 00:35,-86.2481,34.2316,317.00,86.00,75.20,95.19,0.00
4A6,2023-07-01 00:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-01 00:35,-87.3142,33.9020,147.00,89.60,78.80,105.15,4.00
CQF,2023-07-01 00:35,-87.8770,30.4605,27.00,86.00,71.60,91.92,0.00
SEM,2023-07-01 00:35,-86.9878,32.3439,44.25,87.80,84.20,111.79,0.00
SCD,2023-07-01 00:35,-86.3055,33.1718,170.50,84.40,73.60,91.38,0.00
1A9,2023-07-01 00:35,-86.5127,32.4387,63.56,85.50,75.20,94.44,0.00
ASN,2023-07-01 00:35,-86.0512,33.5695,155.32,86.70,74.70,95.68,0.00
PLR,2023-07-01 00:35,-86.2491,33.5588,144.69,84.20,75.20,92.45,0.00
1R8,2023-07-01 00:35,-87.8193,30.8703,72.03,91.40,71.60,98.64,0.00
CMD,2023-07-01 00:35,-86.8580,34.2687,289.02,87.80,78.80,102.37,0.00
HDL,2023-07-01 00:35,-85.3125,31.3641,108.00,87.80,62.60,88.48,5.00
MDQ,2023-07-01 00:35,-86.5600,34.8600,230.00,90.50,71.00,96.88,5.00
ALX,2023-07-01 00:35,-85.9613,32.9143,193.00,81.00,73.80,86.37,0.00
DYA,2023-07-01 00:35,-87.9541,32.4638,32.25,85.00,78.60,97.54,0.00
EDN,2023-07-01 00:35,-85.9048,31.2982,104.85,87.00,71.00,92.90,0.00
TOI,2023-07-01 00:53,-86.0121,31.8604,121.00,87.00,75.00,96.56,4.00
DHN,2023-07-01 00:53,-85.4500,31.3200,122.00,88.00,66.00,90.41,0.00
DCU,2023-07-01 00:53,-86.9453,34.6525,177.00,90.00,73.00,98.30,5.00
ANB,2023-07-01 00:53,-85.8479,33.5904,182.00,81.00,72.00,85.35,4.00
MGM,2023-07-01 00:53,-86.3940,32.3006,62.00,83.00,77.00,91.81,3.00
TCL,2023-07-01 00:53,-87.6161,33.2119,52.00,86.00,79.00,99.65,3.00
BHM,2023-07-01 00:53,-86.7449,33.5655,192.00,93.00,71.00,100.13,10.00
BFM,2023-07-01 00:53,-88.0681,30.6268,8.00,88.00,71.00,94.00,5.00
MSL,2023-07-01 00:53,-87.5996,34.7439,168.00,91.00,74.00,100.56,5.00
HSV,2023-07-01 00:53,-86.7861,34.6439,196.00,89.00,78.00,103.36,3.00
EET,2023-07-01 00:53,-86.7818,33.1784,172.00,89.00,74.00,98.09,3.00
